序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
132,002938,鹏鼎控股,22,19.0,3.0,0.0,0.0,0.0,1.612851924261,2.288590909091,3.392227272727,4.6165
133,002831,裕同科技,22,16.0,6.0,0.0,0.0,0.0,1.235981998731,1.719272727273,1.996227272727,2.266428571429
134,603889,新澳股份,22,20.0,2.0,0.0,0.0,0.0,0.505809100386,0.714285714286,0.807380952381,0.897523809524
135,002563,森马服饰,22,15.0,7.0,0.0,0.0,0.0,0.3312493991,0.408636363636,0.45,0.49619047619
136,002003,伟星股份,22,18.0,4.0,0.0,0.0,0.0,0.542184974899,0.586818181818,0.671818181818,0.754285714286
137,600160,巨化股份,21,15.0,6.0,0.0,0.0,0.0,1.401327667096,2.132380952381,2.558571428571,2.968947368421
138,000526,学大教育,21,19.0,2.0,0.0,0.0,0.0,1.600988429541,2.658095238095,3.201904761905,3.755238095238
139,002493,荣盛石化,21,17.0,3.0,1.0,0.0,0.0,0.084921085002,0.855571428571,0.97819047619,1.10815
140,000425,徐工机械,21,17.0,4.0,0.0,0.0,0.0,0.561190636347,0.710666666667,0.894952380952,1.076944444444
141,601838,成都银行,21,13.0,7.0,1.0,0.0,0.0,3.134055585204,3.283333333333,3.497142857143,3.7445
142,002223,鱼跃医疗,21,12.0,8.0,1.0,0.0,0.0,1.478133648031,1.549818181818,1.795590909091,2.066761904762
143,000776,广发证券,21,15.0,6.0,0.0,0.0,0.0,1.751031154312,2.159,2.3985,2.623333333333
144,601899,紫金矿业,21,15.0,6.0,0.0,0.0,0.0,1.947195798272,3.117619047619,3.652380952381,4.2795
145,603019,中科曙光,21,16.0,5.0,0.0,0.0,0.0,1.487437213821,2.03380952381,2.575238095238,3.238421052632
146,600141,兴发集团,21,14.0,7.0,0.0,0.0,0.0,1.241576091314,1.742857142857,2.092857142857,2.41
147,688531,日联科技,21,15.0,6.0,0.0,0.0,0.0,1.063092545978,1.946666666667,2.895714285714,4.095555555556
148,601658,邮储银行,21,14.0,7.0,0.0,0.0,0.0,0.72779017502,0.73,0.7535,0.781578947368
149,002487,大金重工,21,18.0,3.0,0.0,0.0,0.0,1.490769518483,2.495052631579,3.729210526316,5.121894736842
150,301162,国能日新,21,15.0,6.0,0.0,0.0,0.0,0.697561734531,1.064238095238,1.415761904762,1.892263157895
151,001328,登康口腔,21,13.0,8.0,0.0,0.0,0.0,1.051716230809,1.2715,1.514181818182,1.805761904762
152,601009,南京银行,21,15.0,4.0,2.0,0.0,0.0,1.763818529706,1.864761904762,2.034761904762,2.233
153,002271,东方雨虹,21,14.0,7.0,0.0,0.0,0.0,0.047417874787,0.714761904762,0.99380952381,1.232105263158
154,601138,工业富联,21,14.0,7.0,0.0,0.0,0.0,1.7781393321,3.0947,4.20985,5.332157894737
155,601233,桐昆股份,20,15.0,5.0,0.0,0.0,0.0,0.854476994468,2.6345,2.958,3.314736842105
156,000975,山金国际,20,14.0,6.0,0.0,0.0,0.0,1.071823001534,1.8776,2.6485,3.19015
157,000893,亚钾国际,20,17.0,3.0,0.0,0.0,0.0,1.810049570079,3.4275,4.607,5.5035
158,688617,惠泰医疗,20,11.0,9.0,0.0,0.0,0.0,5.798356825076,7.3331,9.20535,11.530789473684
159,603986,兆易创新,20,16.0,4.0,0.0,0.0,0.0,2.341036281434,13.5015,16.8345,18.6215
160,000977,浪潮信息,20,15.0,5.0,0.0,0.0,0.0,1.643108387556,2.742105263158,3.718947368421,4.918333333333
161,601077,渝农商行,20,13.0,7.0,0.0,0.0,0.0,1.067924716034,1.143157894737,1.245263157895,1.354444444444
162,000933,神火股份,20,15.0,5.0,0.0,0.0,0.0,1.780947688155,3.9321,3.99725,4.0508
163,300033,同花顺,20,15.0,5.0,0.0,0.0,0.0,4.258452915989,6.5295,7.7485,8.842105263158
164,002991,甘源食品,20,13.0,7.0,0.0,0.0,0.0,2.236046012935,2.6848,3.191,3.661263157895
165,002709,天赐材料,20,13.0,7.0,0.0,0.0,0.0,0.668077825226,3.210052631579,3.689052631579,4.255578947368
166,002812,恩捷股份,20,16.0,4.0,0.0,0.0,0.0,0.145262050288,2.308333333333,4.042166666667,5.225
