序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
153,002991,甘源食品,21,14.0,7.0,0.0,0.0,0.0,2.236046012935,2.670285714286,3.168571428571,3.6327
154,300033,同花顺,21,16.0,5.0,0.0,0.0,0.0,4.258452915989,6.449047619048,7.621428571429,8.645
155,603298,杭叉集团,21,13.0,8.0,0.0,0.0,0.0,1.6730001053,1.848,2.0925,2.363157894737
156,000893,亚钾国际,21,18.0,3.0,0.0,0.0,0.0,1.810049570079,3.413333333333,4.60619047619,5.504761904762
157,002223,鱼跃医疗,21,12.0,8.0,1.0,0.0,0.0,1.478133648031,1.545272727273,1.790136363636,2.059619047619
158,300394,天孚通信,21,18.0,3.0,0.0,0.0,0.0,1.849302924021,3.4796,5.4895,8.17985
159,603993,洛阳钼业,21,15.0,6.0,0.0,0.0,0.0,0.950661677344,1.560476190476,1.751428571429,1.957222222222
160,000776,广发证券,21,15.0,6.0,0.0,0.0,0.0,1.751031154312,2.396,2.653,2.907222222222
161,601899,紫金矿业,21,15.0,6.0,0.0,0.0,0.0,1.947195798272,3.102380952381,3.66380952381,4.303
162,600938,中国海油,21,18.0,3.0,0.0,0.0,0.0,2.568527628726,3.40219047619,3.330428571429,3.4155
163,601138,工业富联,21,14.0,7.0,0.0,0.0,0.0,1.7781393321,3.0947,4.20985,5.332157894737
164,300454,深信服,21,15.0,6.0,0.0,0.0,0.0,0.910169650918,1.430952380952,1.849523809524,2.2665
165,601009,南京银行,21,15.0,4.0,2.0,0.0,0.0,1.763818529706,1.864761904762,2.034761904762,2.233
166,301162,国能日新,21,15.0,6.0,0.0,0.0,0.0,0.697561734531,1.064238095238,1.415761904762,1.892263157895
167,002916,深南电路,21,17.0,4.0,0.0,0.0,0.0,4.80901173856,8.404285714286,12.211428571429,16.374
168,002487,大金重工,21,18.0,3.0,0.0,0.0,0.0,1.490769518483,2.445052631579,3.642894736842,4.996631578947
169,300413,芒果超媒,21,14.0,7.0,0.0,0.0,0.0,0.655975117447,0.602857142857,0.789047619048,0.864444444444
170,600801,华新建材,21,14.0,6.0,1.0,0.0,0.0,1.372456956017,1.800523809524,2.152,2.50435
171,300662,科锐国际,21,15.0,6.0,0.0,0.0,0.0,1.593059087893,1.833333333333,2.152857142857,2.5175
172,603986,兆易创新,20,16.0,4.0,0.0,0.0,0.0,2.341036281434,14.028,17.575,19.701
173,603893,瑞芯微,20,16.0,4.0,0.0,0.0,0.0,2.457681618921,3.69,4.747368421053,6.057777777778
174,002304,洋河股份,20,11.0,7.0,1.0,1.0,0.0,1.464413780997,1.50380952381,1.689523809524,1.9565
175,601633,长城汽车,20,15.0,5.0,0.0,0.0,0.0,1.150004664924,1.202578947368,1.549736842105,1.870333333333
176,600958,东方证券,20,14.0,6.0,0.0,0.0,0.0,0.663033391157,0.808333333333,0.877222222222,0.965625
177,603939,益丰药房,20,13.0,7.0,0.0,0.0,0.0,1.384437700161,1.587545454545,1.801954545455,2.02819047619
178,002709,天赐材料,20,13.0,7.0,0.0,0.0,0.0,0.668077825226,3.210052631579,3.689052631579,4.255578947368
179,601390,中国中铁,20,14.0,6.0,0.0,0.0,0.0,0.933162668157,0.868,0.876,0.9045
180,000977,浪潮信息,20,15.0,5.0,0.0,0.0,0.0,1.643108387556,3.177894736842,4.244210526316,5.39
181,600985,淮北矿业,20,15.0,5.0,0.0,0.0,0.0,0.559170816794,1.1975,1.4975,1.6255
182,601128,常熟银行,20,16.0,4.0,0.0,0.0,0.0,1.156568446284,1.345263157895,1.491578947368,1.662777777778
183,000933,神火股份,20,15.0,5.0,0.0,0.0,0.0,1.780947688155,3.9321,3.99725,4.0508
184,601127,赛力斯,20,15.0,4.0,1.0,0.0,0.0,3.419539867352,2.81819047619,4.633571428571,6.0472
185,600233,圆通速递,20,11.0,9.0,0.0,0.0,0.0,1.262362682629,1.7845,2.0655,2.328947368421
186,688617,惠泰医疗,20,11.0,9.0,0.0,0.0,0.0,5.798356825076,7.3296,9.20385,11.509210526316
187,600754,锦江酒店,20,11.0,9.0,0.0,0.0,0.0,0.869729886582,1.095,1.2885,1.46775
188,002027,分众传媒,20,15.0,5.0,0.0,0.0,0.0,0.204008569108,0.409,0.417,0.443684210526
189,002028,思源电气,20,15.0,5.0,0.0,0.0,0.0,4.02536444509,5.390842105263,7.392157894737,9.869117647059
190,000807,云铝股份,20,15.0,5.0,0.0,0.0,0.0,1.745894151947,3.8838,4.21825,4.40115
191,002541,鸿路钢构,20,17.0,3.0,0.0,0.0,0.0,0.895941913699,1.287894736842,1.548421052632,1.825
192,002415,海康威视,20,15.0,5.0,0.0,0.0,0.0,1.548889345254,1.89175,2.15725,2.422894736842
193,600011,华能国际,20,16.0,4.0,0.0,0.0,0.0,0.91791744892,0.7543,0.83965,0.907315789474
194,603899,晨光股份,20,14.0,6.0,0.0,0.0,0.0,1.430940824634,1.568428571429,1.73380952381,1.903047619048
195,600655,豫园股份,20,6.0,14.0,0.0,0.0,0.0,-1.258390547706,0.07045,0.15835,0.231631578947
196,603296,华勤技术,20,16.0,4.0,0.0,0.0,0.0,2.674682907317,4.129,5.074578947368,6.246666666667
197,002812,恩捷股份,20,16.0,4.0,0.0,0.0,0.0,0.145262050288,2.308333333333,4.042166666667,5.225
198,601155,新城控股,20,13.0,7.0,0.0,0.0,0.0,0.301516109039,0.4005,0.541,0.663684210526
199,688531,日联科技,20,14.0,6.0,0.0,0.0,0.0,1.063092545978,1.938,2.896,4.095555555556
200,002738,中矿资源,20,11.0,9.0,0.0,0.0,0.0,0.627432519471,3.742631578947,5.596842105263,7.156470588235
201,300015,爱尔眼科,20,13.0,7.0,0.0,0.0,0.0,0.348431303805,0.378952380952,0.454380952381,0.5124
202,603170,宝立食品,19,12.0,7.0,0.0,0.0,0.0,0.656485327767,0.755526315789,0.864315789474,0.985
203,300633,开立医疗,19,13.0,6.0,0.0,0.0,0.0,0.464365963405,0.723,0.971,1.241666666667
204,688630,芯碁微装,19,14.0,5.0,0.0,0.0,0.0,1.978995861824,4.127052631579,6.327157894737,8.897473684211
205,300037,新宙邦,19,17.0,2.0,0.0,0.0,0.0,1.455519689614,2.85,3.546111111111,4.263333333333
206,603501,豪威集团,19,16.0,3.0,0.0,0.0,0.0,3.216268430738,3.338947368421,4.231052631579,5.093684210526
207,000975,山金国际,19,14.0,5.0,0.0,0.0,0.0,1.071823001534,1.864842105263,2.603157894737,3.123315789474
208,600926,杭州银行,19,12.0,7.0,0.0,0.0,0.0,2.62508529608,2.831111111111,3.148888888889,3.498333333333
209,002043,兔宝宝,19,11.0,8.0,0.0,0.0,0.0,0.846377292823,0.9515,1.109611111111,1.256117647059
210,600312,平高电气,19,13.0,6.0,0.0,0.0,0.0,0.825274850894,1.037611111111,1.271277777778,1.4758125
211,002050,三花智控,19,13.0,6.0,0.0,0.0,0.0,0.965512822642,1.113055555556,1.309333333333,1.546588235294
212,600988,赤峰黄金,19,11.0,8.0,0.0,0.0,0.0,1.621947832849,2.575263157895,3.143157894737,3.947777777778
213,920982,锦波生物,19,13.0,6.0,0.0,0.0,0.0,5.667466572471,6.29315,7.4624,8.880421052632
214,601668,中国建筑,19,16.0,3.0,0.0,0.0,0.0,0.945513863257,0.933684210526,0.955263157895,0.988888888889
215,600584,长电科技,19,16.0,3.0,0.0,0.0,0.0,0.874720739784,1.173157894737,1.517368421053,1.857368421053
216,601168,西部矿业,19,10.0,9.0,0.0,0.0,0.0,1.528613836341,2.886842105263,3.310526315789,3.555
217,600660,福耀玻璃,19,15.0,4.0,0.0,0.0,0.0,3.568283256885,3.812631578947,4.457894736842,5.135
218,001914,招商积余,19,13.0,6.0,0.0,0.0,0.0,0.621207967621,0.907368421053,0.984736842105,1.07
219,603129,春风动力,19,15.0,4.0,0.0,0.0,0.0,10.915696385007,14.880736842105,19.207894736842,23.996777777778
220,000338,潍柴动力,19,16.0,3.0,0.0,0.0,0.0,1.265072378413,1.675263157895,2.075789473684,2.484210526316
221,688676,金盘科技,19,13.0,6.0,0.0,0.0,0.0,1.434448555182,1.935944444444,2.751666666667,3.573875
222,000725,京东方A,19,15.0,4.0,0.0,0.0,0.0,0.158106977778,0.226842105263,0.320526315789,0.435263157895
223,600900,长江电力,18,15.0,3.0,0.0,0.0,0.0,1.410107167464,1.465388888889,1.514611111111,1.55275
224,002601,龙佰集团,18,11.0,7.0,0.0,0.0,0.0,0.521995137103,0.693888888889,1.062222222222,1.329411764706
225,601872,招商轮船,18,12.0,6.0,0.0,0.0,0.0,0.744574599091,1.885947368421,2.020368421053,2.036222222222
